,Department,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FAM Fine Arts Museum,FAM Fine Arts Museum,14390681.979999995,20925850.959999997,16717880.619999994,14178729.120000001,14772243.130000003,12885845.510000002,12605251.170000006,21866400.339999996,25611255.820000004,24510716.829999994,29674298.13,28688205.960000005,30096252.420000006,26924525.31,27979407.000000007,22717721.479999997,22384138.59999998,27278452.229999993,26780054.540000007
FIR Fire Department,FIR Fire Department,207867196.45000008,231077861.07000008,257461124.0700001,261147868.87000015,273428443.2700003,262768277.43999964,272363743.56999993,286711337.2499998,318570472.51,327278733.4500001,325603053.6699999,336895302.8700003,352171611.0800002,371384922.5999999,400069554.3600001,416478896.0899998,442497812.6700001,470847310.7400002,485186719.78000015
GEN General City / Unallocated,GEN General City / Unallocated,1270159030.7300003,1309816022.53,1493750047.8899996,1517575481.01,1399779036.9600005,1644321914.5599995,1604908966.1699996,1741225032.6400006,1848696117.6100006,1908207307.9800005,2024137159.1299999,2105828692.8600004,2286421181.5199995,2465609549.669999,2495881753.8100004,2732683001.9200015,3016058537.4999986,3094903971.819999,3554021227.66
HHP CleanPowerSF,HHP CleanPowerSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8523334.09,58541663.94999998
HHP Hetch Hetchy Water & Power,HHP Hetch Hetchy Water & Power,125694557.85000002,142215430.64000002,194269556.3399998,234867970.33999968,230629617.15999988,243461995.43999985,258413052.88,269923500.4399999,210889059.87999994,241261167.61000004,229497779.6200005,279011501.9300003,298072165.2400003,326941819.9200001,284230822.09,300050669.4000003,308672076.05000025,320181971.94999987,373185300.4299998
HOM HOMELESSNESS SERVICES,HOM HOMELESSNESS SERVICES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194580114.4400001
HRC Human Rights Commission,HRC Human Rights Commission,1427675.9899999988,1951093.38,1989905.5200000019,1898689.6500000004,1704993.5499999996,1669716.03,1187560.8600000015,1384575.5700000003,1129490.2700000003,888456.9099999986,959272.8399999996,869657.2199999995,293012.2899999997,1075396.040000001,1008476.3800000004,940181.51,2041133.4100000001,2222794.6400000006,2759961.289999999
HRD Human Resources,HRD Human Resources,462246281.10999995,495278320.56000066,545442611.89,615580260.1599998,756736211.9500004,837295486.53,16186050.85000006,10481688.579999994,9641491.930000018,20516634.37,5825635.190000049,11912270.239999978,10727003.230000068,12124427.809999987,11884907.309999993,14287499.49999999,15159709.690000046,17833867.79000002,21252695.680000026
HSA Human Services Agency,HSA Human Services Agency,600682878.26,701960183.47,763447672.6499993,811734171.7900004,848387912.609999,866690684.9400004,887047099.6900005,916852302.1500001,969949754.6099993,1010855495.1200017,1020241424.8999997,1123134538.4,1082267403.8200006,1041600688.2900008,1134994570.3600001,1221339038.3600006,1302358365.2500002,1429344828.6200016,1352248675.490001
HSS Health Service System,HSS Health Service System,0.0,0.0,0.0,0.0,0.0,0.0,889305332.34,960496984.9500005,1045673367.8099998,1140694768.4600005,1242398789.6499991,1320501605.9399996,1407145149.0300004,1423259790.1599996,1457485514.0599995,1507460592.5899997,1566675610.2199993,1612748667.64,1692571116.16
JUV Juvenile Probation,JUV Juvenile Probation,32797458.889999997,35718707.12,38940287.05999999,39807742.12,31998258.26000002,41818676.850000024,39366949.10000001,38995229.03999999,39232870.63999999,39887078.85,35823537.11999998,36639842.93999999,33774132.83999999,36327468.980000004,35965020.360000014,36145895.78000001,38804800.11,38582771.92,39169978.52999998
