YEAR,COUNTY,ST_TOTAL,ST_LE_TOTAL,ST_LE_SWORN,ST_LE_NONSWORN,ST_OTH_FUNDED_TOTAL,ST_OTH_FUNDED_SWORN,ST_OTH_FUNDED_NONSWORN,CNTY_TOTAL,CNTY_LE_TOTAL,CNTY_LE_SWORN,CNTY_LE_NONSWORN,CNTY_OTH_FUNDED_TOTAL,CNTY_OTH_FUNDED_SWORN,CNTY_OTH_FUNDED_NONSWORN,SO_FUNDED_TOTAL,SO_FUNDED_SWORN,SO_FUNDED_NONSWORN,PD_FUNDED_TOTAL,PD_FUNDED_SWORN,PD_FUNDED_NONSWORN,CHP_FUNDED_TOTAL,CHP_FUNDED_SWORN,CHP_FUNDED_NONSWORN,Prosecution,DA_Attorneys,DA_Investigators,DA_Clerical,DA_Other,PublicDefense,PD_Attorneys,PD_Investigators,PD_Clerical,PD_Other,ProbationDept,ProbationOfficers,PROB_Other
2004,Stanislaus County,1649,1263,661,602,20,11,9,1649,1263,661,602,20,11,9,622,217,405,621,433,188, , , ,121,47,16,39,19,39,24,2,9,4,226,171,55
2004,Sutter County,268,208,154,54, , , ,268,208,154,54, , , ,135,107,28,73,47,26, , , ,24,8,10,5,1, , , , , ,36,29,7
2004,Tehama County,228,146,102,44, , , ,228,146,102,44, , , ,89,65,24,57,37,20, , , ,23,7,5,8,3, , , , , ,59,27,32
2004,Trinity County,61,34,19,15, , , ,61,34,19,15, , , ,34,19,15, , , , , , ,10,4,2,2,2, , , , , ,17,8,9
2004,Tulare County,1594,1042,743,299,6,5,1,1594,1042,743,299,6,5,1,657,467,190,379,271,108, , , ,183,61,45,39,38,65,34,9,10,12,304,100,204
2004,Tuolumne County,212,158,85,73, , , ,212,158,85,73, , , ,140,71,69,18,14,4, , , ,21,7,2,7,5,7,4,1,2,0,26,13,13
2004,Ventura County,2697,1954,1256,698,18,12,6,2697,1954,1256,698,18,12,6,1138,714,424,798,530,268, , , ,244,84,59,54,47,76,49,10,11,6,423,331,92
2004,Yolo County,795,581,310,271,69,42,27,795,581,310,271,69,42,27,233,79,154,279,189,90, , , ,95,31,27,22,15,32,22,4,6,0,87,33,54
2004,Yuba County,338,195,152,43, , , ,338,195,152,43, , , ,155,123,32,40,29,11, , , ,15,9,3,2,1, , , , , ,128,38,90
2005,Alameda County,5609,4490,2953,1537,248,141,107,5609,4490,2953,1537,248,141,107,1519,962,557,2723,1850,873, , , ,340,157,68,115,0,187,115,21,41,10,592,210,382
